player,club,lineup_status,confirmed,captured_at,bookmaker,goal_odds,assist_odds,sot_odds
J. Collins,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.88,,
F. Draper,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
M. Melia,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.65,,
R. Hackett,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.84,,
B. House,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.84,,
C. Bishop,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.84,,
R. Street,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.84,,
I. Olaofe,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.3,,
A. Segecic,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
N. Chioma,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.75,,
E. Kenny,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.49,,
H. Blair,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
J. Murphy,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
R. Kavuma-McQueen,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
L. Brooke-Smith,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
K. Anderson,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
D. Jefferies,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
O. Bailey,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
J. Swift,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
M. Kosznovszky,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
T. Bayliss,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
A. Reach,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
J. Honohan,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.23,,
R. Shein,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
I. Varfolomeev,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.8,,
Y. Konak,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
C. McGrandles,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
E. Adams,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
T. Devlin,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
M. Pack,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
C. Ogilvie,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
C. Shaughnessy,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,14.2,,
J. Farrell,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
T. Darikwa,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.7,,
D. Elerewe,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.7,,
L. Le Roux,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.7,,
S. Bradley,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.7,,
Z. Swanson,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.0,,
T. Hamer,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.7,,
R. Towler,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,17.0,,
M. Ani,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,17.0,,
A. Jackson,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,17.0,,
A. Coubis,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,17.0,,
C. Agu,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,17.0,,
B. Arthur,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,19.0,,
J. Knight,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,19.0,,
C. Elder,Lincoln City,start,true,2026-08-22T14:30:00Z,oddschecker-best,19.0,,
M. Dia,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,21.0,,
H. Matthews,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,21.0,,
R. Poole,Portsmouth,start,true,2026-08-22T14:30:00Z,oddschecker-best,21.0,,
A. Priske,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.75,,
M. Ducksch,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
D. Gray,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.3,,
J. Stansfield,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
L. Vázquez,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
C. Vicente,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.9,,
L. Tolaj,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
D. Ballard,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.2,,
P. Roberts,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.6,,
K. Fujimoto,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
S. Bell,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.2,,
